Timestamp,Tag_ID,u,v,x,y,z
2025-04-27 23:12:34.019,1,487.8410339355469,147.8211212158203,-0.14590376251906587,-0.3610387218281672,1.2255733266060738
2025-04-27 23:12:34.786,1,486.19537353515625,159.75602340698245,-0.14736217948481733,-0.34045832609202686,1.2245960568359235
2025-04-27 23:12:38.391,1,478.5469818115235,196.1425666809082,-0.12999567711500207,-0.23397322820277372,1.0285654323456517
2025-04-27 23:12:38.434,1,478.5469818115235,196.1425666809082,-0.12999567711500207,-0.23397322820277372,1.0285654323456517
2025-04-27 23:12:38.640,1,487.41075134277344,204.25292587280273,-0.11977118960905339,-0.21673600910443983,1.0024790003032846
2025-04-27 23:12:38.682,1,487.41075134277344,204.25292587280273,-0.11977118960905339,-0.21673600910443983,1.0024790003032846
2025-04-27 23:12:38.726,1,490.74124908447266,204.69075393676758,-0.11689216355329224,-0.21562303948095188,1.0001526719549219
2025-04-27 23:12:38.778,1,490.74124908447266,204.69075393676758,-0.11689216355329224,-0.21562303948095188,1.0001526719549219
2025-04-27 23:12:38.913,1,485.4548110961914,208.1837921142578,-0.12012101684514105,-0.20918762926604198,0.9926932362974858
2025-04-27 23:12:38.963,1,485.4548110961914,208.1837921142578,-0.12012101684514105,-0.20918762926604198,0.9926932362974858
2025-04-27 23:12:39.029,1,482.85523223876953,209.75743865966797,-0.1241204435335081,-0.21039886113393053,1.0088766800323514
2025-04-27 23:12:39.096,1,482.85523223876953,209.75743865966797,-0.1241204435335081,-0.21039886113393053,1.0088766800323514
2025-04-27 23:12:39.218,1,471.3903503417969,205.0647201538086,-0.13567146774662062,-0.22109268104680255,1.0280250142951046
2025-04-27 23:12:39.262,1,471.3903503417969,205.0647201538086,-0.13567146774662062,-0.22109268104680255,1.0280250142951046
